num_accounts,transactions_per_thread,query_pct,lock_type,num_threads,use_delay,execution_time,throughput,run
1000,100000,20,4,2,0,0.028567,7001085.17,4
1000,100000,20,4,2,0,0.032486,6156498.18,5
1000,100000,20,4,2,1,0.814510,245546.40,1
1000,100000,20,4,2,1,0.823031,243004.21,2
1000,100000,20,4,2,1,0.794923,251596.70,3
1000,100000,20,4,2,1,0.826177,242078.88,4
1000,100000,20,4,2,1,0.785354,254662.23,5
1000,100000,20,4,4,0,0.056403,7091821.36,1
1000,100000,20,4,4,0,0.054646,7319840.43,2
1000,100000,20,4,4,0,0.055867,7159861.81,3
1000,100000,20,4,4,0,0.049730,8043434.55,4
1000,100000,20,4,4,0,0.052494,7619918.47,5
1000,100000,20,4,4,1,0.843624,474144.88,1
1000,100000,20,4,4,1,0.813878,491474.15,2
1000,100000,20,4,4,1,0.826812,483785.92,3
1000,100000,20,4,4,1,0.826433,484007.78,4
1000,100000,20,4,4,1,0.841532,475323.58,5
1000,100000,80,1,1,0,0.002042,48971596.47,1
1000,100000,80,1,1,0,0.001829,54674685.62,2
1000,100000,80,1,1,0,0.002305,43383947.94,3
1000,100000,80,1,1,0,0.002524,39619651.35,4
1000,100000,80,1,1,0,0.002343,42680324.37,5
1000,100000,80,1,1,1,1.621815,61659.31,1
1000,100000,80,1,1,1,1.515668,65977.51,2
1000,100000,80,1,1,1,1.571691,63625.74,3
1000,100000,80,1,1,1,1.557599,64201.38,4
1000,100000,80,1,1,1,2.096851,47690.56,5
1000,100000,80,1,2,0,0.014949,13378821.33,1
1000,100000,80,1,2,0,0.016066,12448649.32,2
1000,100000,80,1,2,0,0.012605,15866719.56,3
1000,100000,80,1,2,0,0.016120,12406947.89,4
1000,100000,80,1,2,0,0.015326,13049719.43,5
1000,100000,80,1,2,1,4.765590,41967.52,1
1000,100000,80,1,2,1,4.895769,40851.60,2
1000,100000,80,1,2,1,4.711861,42446.07,3
1000,100000,80,1,2,1,4.629948,43197.03,4
1000,100000,80,1,2,1,4.459735,44845.71,5
1000,100000,80,1,4,0,0.022649,17660823.88,1
1000,100000,80,1,4,0,0.027685,14448257.18,2
1000,100000,80,1,4,0,0.025619,15613411.92,3
1000,100000,80,1,4,0,0.023368,17117425.54,4
1000,100000,80,1,4,0,0.028622,13975263.78,5
1000,100000,80,1,4,1,10.372381,38563.95,1
1000,100000,80,1,4,1,9.683804,41306.08,2
1000,100000,80,1,4,1,9.410266,42506.77,3
1000,100000,80,1,4,1,9.588505,41716.62,4
1000,100000,80,1,4,1,10.217124,39149.96,5
1000,100000,80,2,1,0,0.002452,40783034.26,1
1000,100000,80,2,1,0,0.002065,48426150.12,2
1000,100000,80,2,1,0,0.002603,38417210.91,3
1000,100000,80,2,1,0,0.002138,46772684.75,4
1000,100000,80,2,1,0,0.001828,54704595.19,5
1000,100000,80,2,1,1,1.526294,65518.18,1
1000,100000,80,2,1,1,1.515384,65989.87,2
1000,100000,80,2,1,1,1.513937,66052.95,3
1000,100000,80,2,1,1,1.534558,65165.34,4
1000,100000,80,2,1,1,1.526120,65525.65,5
1000,100000,80,2,2,0,0.016055,12457178.45,1
1000,100000,80,2,2,0,0.013952,14334862.39,2
1000,100000,80,2,2,0,0.009233,21661431.82,3
1000,100000,80,2,2,0,0.017148,11663167.72,4
1000,100000,80,2,2,0,0.020324,9840582.56,5
1000,100000,80,2,2,1,1.627379,122897.00,1
1000,100000,80,2,2,1,1.570407,127355.52,2
1000,100000,80,2,2,1,1.616781,123702.59,3
1000,100000,80,2,2,1,1.576628,126853.01,4
1000,100000,80,2,2,1,1.608338,124351.97,5
1000,100000,80,2,4,0,0.033189,12052185.97,1
1000,100000,80,2,4,0,0.032445,12328556.02,2
1000,100000,80,2,4,0,0.033015,12115704.98,3
1000,100000,80,2,4,0,0.029248,13676148.80,4
1000,100000,80,2,4,0,0.030927,12933682.54,5
1000,100000,80,2,4,1,1.754720,227956.60,1
1000,100000,80,2,4,1,1.731347,231033.99,2
1000,100000,80,2,4,1,1.691664,236453.57,3
1000,100000,80,2,4,1,1.769858,226006.83,4
1000,100000,80,2,4,1,2.326689,171918.12,5
1000,100000,80,3,1,0,0.002212,45207956.60,1
1000,100000,80,3,1,0,0.002173,46019328.12,2
1000,100000,80,3,1,0,0.002081,48053820.28,3
1000,100000,80,3,1,0,0.002352,42517006.80,4
1000,100000,80,3,1,0,0.002584,38699690.40,5
1000,100000,80,3,1,1,3.080439,32462.91,1
1000,100000,80,3,1,1,3.051859,32766.91,2
1000,100000,80,3,1,1,3.007030,33255.40,3
1000,100000,80,3,1,1,2.995331,33385.29,4
1000,100000,80,3,1,1,3.009223,33231.17,5
1000,100000,80,3,2,0,0.018939,10560219.65,1
1000,100000,80,3,2,0,0.022111,9045271.58,2
1000,100000,80,3,2,0,0.017164,11652295.50,3
1000,100000,80,3,2,0,0.018091,11055220.83,4
1000,100000,80,3,2,0,0.013729,14567703.40,5
1000,100000,80,3,2,1,4.751197,42094.66,1
1000,100000,80,3,2,1,4.789575,41757.36,2
1000,100000,80,3,2,1,5.039152,39689.22,3
1000,100000,80,3,2,1,5.608666,35659.10,4
1000,100000,80,3,2,1,4.910480,40729.22,5
1000,100000,80,3,4,0,0.046218,8654636.72,1
1000,100000,80,3,4,0,0.042064,9509319.13,2
1000,100000,80,3,4,0,0.038917,10278284.55,3
1000,100000,80,3,4,0,0.046206,8656884.39,4
1000,100000,80,3,4,0,0.038495,10390959.86,5
1000,100000,80,3,4,1,9.850377,40607.58,1
1000,100000,80,3,4,1,9.790507,40855.90,2
1000,100000,80,3,4,1,10.478290,38174.17,3
1000,100000,80,3,4,1,9.892660,40434.02,4
1000,100000,80,3,4,1,9.654179,41432.83,5
1000,100000,80,4,1,0,0.002681,37299515.11,1
1000,100000,80,4,1,0,0.003226,30998140.11,2
1000,100000,80,4,1,0,0.002620,38167938.93,3
1000,100000,80,4,1,0,0.003535,28288543.14,4
1000,100000,80,4,1,0,0.002466,40551500.41,5
1000,100000,80,4,1,1,3.084051,32424.89,1
1000,100000,80,4,1,1,3.062480,32653.27,2
1000,100000,80,4,1,1,3.707259,26974.11,3
1000,100000,80,4,1,1,3.108875,32165.98,4
1000,100000,80,4,1,1,3.093970,32320.93,5
1000,100000,80,4,2,0,0.023386,8552125.20,1
1000,100000,80,4,2,0,0.018448,10841283.61,2
1000,100000,80,4,2,0,0.016157,12378535.62,3
1000,100000,80,4,2,0,0.024851,8047965.88,4
1000,100000,80,4,2,0,0.019912,10044194.46,5
1000,100000,80,4,2,1,3.140905,63675.92,1
1000,100000,80,4,2,1,3.168794,63115.49,2
1000,100000,80,4,2,1,3.193810,62621.13,3
1000,100000,80,4,2,1,3.181059,62872.14,4
1000,100000,80,4,2,1,3.187483,62745.43,5
1000,100000,80,4,4,0,0.041982,9527892.91,1
1000,100000,80,4,4,0,0.041752,9580379.38,2
1000,100000,80,4,4,0,0.041329,9678434.03,3
1000,100000,80,4,4,0,0.042657,9377124.50,4
1000,100000,80,4,4,0,0.025339,15785942.62,5
1000,100000,80,4,4,1,3.415084,117127.43,1
1000,100000,80,4,4,1,3.416603,117075.35,2
1000,100000,80,4,4,1,4.125667,96954.02,3
1000,100000,80,4,4,1,3.456548,115722.39,4
1000,100000,80,4,4,1,3.391958,117925.99,5
